,,2023,2024,,2024,2025Q3
,現金及び預金,2048,4089,現金及び預金,4089,3629
,売掛金,573,819,売掛金,819,718
,未収入金,0,5,未収入金,5,63
,その他,41,100,その他,100,203
,貸倒引当金,-,-5,貸倒引当金,-5,0
,流動資産合計,2662,5008,流動資産合計,5008,4611
有形固定資産,建物,46,123,建物,123,68
,減価償却累計額,-2,-56,減価償却累計額,-56,-12
,建物（純額）,44,68,建物（純額）,68,56
,工具器具及び備品,48,97,工具器具及び備品,97,78
,減価償却累計額,-22,-70,減価償却累計額,-70,-42
,工具器具及び備品（純額）,26,28,工具器具及び備品（純額）,28,36
,有形固定資産合計,70,95,有形固定資産合計,95,92
無形固定資産,ソフトウエア,17,146,ソフトウエア,146,103
,商標権,0,-,,,
,のれん,-,1540,のれん,1540,1416
,無形固定資産合計,17,1686,無形固定資産合計,1686,1519
投資その他の資産,投資有価証券,21,15,投資有価証券,15,15
,繰延税金資産,56,152,繰延税金資産,152,84
,差入保証金,65,224,差入保証金,224,110
,その他,1,4,その他,4,12
,貸倒引当金,-,0,貸倒引当金,0,-5
,投資その他の資産合計,143,395,投資その他の資産合計,395,216
,固定資産合計,230,2176,固定資産合計,2176,1827
,資産合計,2892,7185,資産合計,7185,6439
,１年内返済予定の長期借入金,22,3,１年内返済予定の長期借入金,3,2
,買掛金,2,84,買掛金,84,57
,未払金,81,225,未払金,225,197
,未払費用,283,326,未払費用,326,321
,未払法人税等,216,232,未払法人税等,232,17
,未払消費税等,129,155,未払消費税等,155,113
,預り金,19,30,預り金,30,63
,契約負債,-,1,契約負債,1,2
,返金負債,0,8,返金負債,8,6
,賞与引当金,116,142,賞与引当金,142,52
,流動負債合計,869,1205,その他,-,1
長期借入金,繰延税金負債,0,-,流動負債合計,1205,832
,固定負債合計,0,9,長期借入金,9,4
,負債合計,869,1214,固定負債合計,9,4
株主資本,資本金,508,521,負債合計,1214,836
,資本剰余金,400,3894,資本金,521,524
,利益剰余金,1104,1535,資本剰余金,3894,3896
,自己株式,0,-10,利益剰余金,1535,2007
,株主資本合計,2012,5940,自己株式,-10,-861
,新株予約権,11,27,株主資本合計,5940,5566
,非支配株主持分,-,4,新株予約権,27,36
,純資産合計,2024,5971,非支配株主持分,4,0
,負債純資産合計,2892,7185,純資産合計,5971,5602
売上高,売上高,5198,7489,負債純資産合計,7185,6439
,売上原価,3357,3995,売上高,5377,6381
,売上総利益,1841,3494,売上原価,2954,3181
,販売費及び一般管理費,908,2299,売上総利益,2423,3200
,営業利益,933,1195,販売費及び一般管理費,1527,2190
営業外収益,受取利息,0,0,営業利益,896,1010
,受取家賃,0,2,受取利息及び配当金,0,0
,助成金収入,-,1,受取家賃,1,2
,その他,-,0,助成金収入,0,7
,営業外収益合計,0,3,その他,0,0
営業外費用,支払利息,1,0,営業外収益合計,2,9
,支払手数料,5,54,支払利息,0,0
,その他,-,1,支払手数料,54,1
,営業外費用合計,6,56,その他,1,0
,経常利益,927,1143,営業外費用合計,54,1
特別利益,負ののれん発生益,-,12,経常利益,843,1018
,新株予約権戻入益,1,-,営業外収益,,
,特別利益合計,1,12,ゴルフ会員権売却益,-,0
特別損失,段階取得に係る差損,-,21,特別利益合計,-,0
,固定資産除却損,3,-,固定資産除却損,-,2
,事務所移転費用,14,5,事務所移転費用,5,14
,特別損失合計,17,25,関係会社株式売却損,-,9
,税金等調整前当期純利益,911,1130,特別損失合計,5,25
,法人税住民税及び事業税,300,367,税金等調整前四半期純利益,839,993
,法人税等調整額,-7,37,法人税住民税及び事業税,219,73
,法人税等合計,293,405,法人税等調整額,72,68
,当期純利益,618,726,法人税等合計,291,141
,非支配株主に帰属する当期純利益,-,-,四半期純利益,547,852
,親会社株主に帰属する当期純利益,618,726,非支配株主に帰属する四半期純損失（-）,-,-3
,当期純利益,618,726,親会社株主に帰属する四半期純利益,547,855
その他の包括利益,その他の包括利益合計,-,-,四半期純利益,547,852
,包括利益,618,726,その他の包括利益合計,-,-
,親会社株主に係る包括利益,618,726,四半期包括利益,547,852
,非支配株主に係る包括利益,-,-,親会社株主に係る四半期包括利益,547,855
,,,,非支配株主に係る四半期包括利益,-,-3
,,,,,,
営業活動によるキャッシュ・フロー,税金等調整前当期純利益,911,1130,,,
,減価償却費,30,68,,,
,のれん償却額,-,110,,,
,負ののれん発生益,-,-12,,,
,段階取得に係る差損益（-は益）,-,21,,,
,受取利息及び受取配当金,0,0,,,
,為替差損益（-は益）,-,0,,,
,固定資産除却損,3,-,,,
,株式報酬費用,5,16,,,
,新株予約権戻入益,-1,-,,,
,移転費用,14,5,,,
,売上債権の増減額（-は増加）,-58,-32,,,
,未収入金の増減額（-は増加）,0,24,,,
,仕入債務の増減額（-は減少）,3,20,,,
,未払金の増減額（-は減少）,22,51,,,
,未払費用の増減額（-は減少）,24,10,,,
,預り金の増減額（-は減少）,3,-28,,,
,賞与引当金の増減額（-は減少）,15,2,,,
,未払消費税等の増減額（-は減少）,-2,4,,,
,その他,-5,9,,,
,小計,966,1397,,,
,利息及び配当金の受取額,0,0,,,
