現金及び預金,1844,3324,3666
売掛金,616,719,717
商品,25,32,48
貯蔵品,8,0,
前払費用,99,129,211
その他,2,9,9
貸倒引当金,-2,-3,-5
流動資産合計,2593,4210,4645
固定資産,,,66
有形固定資産,,,
建物附属設備,65,65,
工具,130,149,163
減価償却累計額,-96,-122,-140
有形固定資産合計,99,92,90
無形固定資産,,,
ソフトウエア,18,18,14
ソフトウエア仮勘定,−,276,432
その他,0,10,14
無形固定資産合計,18,304,460
投資その他の資産,,,
投資有価証券,1,1,1
長期前払費用,8,4,40
破産更生債権等,0,0,1
繰延税金資産,192,208,199
その他,70,69,66
貸倒引当金,0,0,-1
投資その他の資産合計,270,282,306
固定資産合計,388,677,856
資産合計,2981,4887,5501
負債の部,,,96
流動負債,,,
買掛金,97,118,
短期借入金,180,−,
１年内返済予定の長期借入金,50,27,-
未払金,17,88,12
未払費用,247,322,304
未払法人税等,111,111,159
契約負債,137,98,230
賞与引当金,93,104,66
その他,94,128,186
流動負債合計,1024,996,1054
固定負債,,,
長期借入金,22,−,
固定負債合計,22,−,
負債合計,1046,996,1054
純資産の部,,,
株主資本,,,
資本金,20,861,861
資本剰余金,−,841,841
利益剰余金,1904,2168,2713
株主資本合計,1924,3869,4414
その他の包括利益累計額,,,
為替換算調整勘定,11,23,33
その他の包括利益累計額合計,11,23,33
純資産合計,1935,3892,4447
負債純資産合計,2981,4887,5501
売上高,4223,5035,4437
売上原価,1224,1617,1268
,29.0%,32.1%,28.6%
売上総利益,2999,3418,3169
販売費及び一般管理費,2671,2898,2270
,63.2%,57.6%,51.2%
営業利益,329,520,899
,7.8%,10.3%,20.3%
受取利息,,,0
補助金収入,10,11,1
雑収入,−,3,
その他,0,2,0
営業外収益合計,10,17,1
営業外費用,,,
支払利息,1,1,0
為替差損,8,5,2
固定資産除却損,3,0,0
株式交付費,−,15,-
上場関連費用,−,14,-
その他,1,−,
営業外費用合計,13,36,2
経常利益,326,501,898
,7.7%,10.0%,20.2%
税金等調整前当期純利益,326,501,898
法人税,203,181,229
法人税等調整額,-115,-15,9
法人税等合計,88,166,238
当期純利益,238,335,660
親会社株主に帰属する当期純利益,238,335,660
当期純利益,238,335,660
その他の包括利益,,,
為替換算調整勘定,10,12,10
その他の包括利益合計,10,12,10
包括利益,248,347,670
親会社株主に係る包括利益,248,347,670
